"edad","genero","origen","destino","gusta"
"41-60","hombre","Johannesburgo","Ciudad del Vaticano","0"
"41-60","hombre","Berlin","Sidney","1"
"60-99","mujer","San Paulo","Paris","1"
"60-99","hombre","Denver","San Petersburgo","0"
"18-30","hombre","Miami","Toronto","0"
"41-60","mujer","El Cairo","Helsinki","0"
"60-99","mujer","Praga","Zagreb","1"
"13-17","hombre","Moscu","Casablanca","0"
"13-17","hombre","Varsovia","Moscu","0"
"18-30","mujer","Praga","Quebec","1"
"41-60","mujer","Copenhague","Bariloche","0"
"31-40","hombre","Casablanca","Madrid","1"
"41-60","hombre","Viena","Moscu","1"
"60-99","hombre","Denver","Sidney","1"
"31-40","hombre","San Paulo","Tokio","1"
"13-17","mujer","Bogota","San Petersburgo","0"
"60-99","hombre","Estambul","Roma","1"
"18-30","hombre","El Cairo","Johannesburgo","1"
"60-99","mujer","Tokio","Casablanca","0"
"41-60","hombre","Londres","Lima","1"
"31-40","hombre","Praga","Casablanca","1"
"18-30","hombre","Los Angeles","Nueva York","1"
"13-17","hombre","Oslo","Dubai","1"
"41-60","hombre","Atenas","Bogota","0"
"31-40","mujer","Seul","Estambul","1"
"41-60","mujer","Ciudad del Cabo","Paris","1"
"13-17","hombre","Montreal","Berlin","1"
"13-17","hombre","Bangkok","Seul","1"
"13-17","mujer","Quebec","Varsovia","1"
"18-30","hombre","Helsinki","Ciudad de Mexico","1"
"18-30","mujer","Ciudad del Cabo","Paris","1"
"13-17","mujer","Toronto","Barcelona","1"
"13-17","hombre","Toronto","Miami","1"
"60-99","hombre","Johannesburgo","Berlin","0"
"41-60","mujer","Estocolmo","Viena","1"
"31-40","mujer","Londres","Ciudad del Vaticano","1"
"31-40","hombre","Miami","Bogota","0"
"60-99","mujer","Montreal","Quebec","0"
"41-60","hombre","San Francisco","Chicago","1"
"60-99","mujer","Los Angeles","Londres","1"
"18-30","mujer","Tokio","Pekin","0"
"41-60","hombre","Bogota","Casablanca","0"
"60-99","hombre","Nairobi","Roma","1"
"18-30","mujer","San Francisco","Estocolmo","0"
"60-99","hombre","Atenas","Tokio","0"
"60-99","hombre","Ciudad del Vaticano","Casablanca","0"
"41-60","hombre","Paris","Edimburgo","0"
"31-40","hombre","Montreal","Delhi","0"
"13-17","hombre","Lima","Tokio","0"
"31-40","hombre","Singapur","San Francisco","1"
"41-60","mujer","Amsterdam","Singapur","1"
"41-60","mujer","Praga","Moscu","1"
"41-60","hombre","Lima","Oslo","0"
"31-40","hombre","Ciudad de Mexico","Copenhague","1"
"60-99","hombre","Casablanca","Bangkok","0"
"60-99","mujer","Zagreb","Sidney","0"
"18-30","hombre","Tokio","Johannesburgo","1"
"18-30","hombre","Varsovia","Nueva York","1"
"60-99","mujer","Dubai","Pekin","0"
"13-17","mujer","Paris","Londres","1"
